"","species","read_length","species_sensitivity","species_specificity","species_accuracy","species_precision","genus_sensitivity","genus_specificity","genus_accuracy","genus_precision"
"1246","Streptococcus thermophilus","75",83.0417058518806,99.9875250087981,99.5282212027598,99.1986550273579,98.0202428825581,99.9948298968217,99.6178903188473,99.9775507854746
"1247","Streptococcus thermophilus","150",93.6923997261203,99.9844424629032,99.8692753960019,98.0692059773323,99.1195263397962,99.9851587602118,99.850444415978,99.9234025469628
"1248","Streptococcus thermophilus","300",96.9995995664134,99.9654926167236,99.8857557885379,98.165171970017,99.6807170588744,99.9899079017328,99.9306361485596,99.956604064407
"1249","Streptomyces venezuelae","75",84.775579191221,99.9998794944801,99.5948462513647,99.96569062691,95.7407043162344,99.9951525200572,99.8818701575472,98.8036115314826
"1250","Streptomyces venezuelae","150",94.8994035619788,99.9999494854264,99.9176020010629,99.9914252097836,99.2770608545306,99.9970555049861,99.98448040876,99.5044769282214
"1251","Streptomyces venezuelae","300",97.8522837787451,99.9999869832209,99.947745268148,99.9975836071912,99.877678633535,99.9985333489993,99.9947699167403,99.6921537346473
"1252","Stutzerimonas stutzeri","75",27.4345250142422,99.9998374087606,99.4599862958631,98.3799901181159,60.0544278148718,99.9995530730982,99.685596914625,99.5963667478453
"1253","Stutzerimonas stutzeri","150",32.4018713771966,99.9997446255566,99.4334584116511,98.2356891584215,69.6768921958465,99.9995002427365,99.7447727225183,99.7453633558818
"1254","Stutzerimonas stutzeri","300",35.3413902331867,99.9997777030813,99.4838676705036,99.3744392265918,73.5752766471157,99.9994724559932,99.7939955847263,99.7931358461503
"1255","Tannerella serpentiformis","75",98.8460210974801,99.9999872712566,99.9812493366947,99.9954410870482,98.8600094939147,99.9994435751632,99.9809641632772,99.7084156240214
"1256","Tannerella serpentiformis","150",99.7693609209685,100,99.9970194003237,100,99.7881514701662,99.996152834528,99.9934119792563,99.0829140773399
"1257","Tannerella serpentiformis","300",99.9459062882143,99.9999869663806,99.999197561487,99.9981312169046,99.9474508045965,99.9990975079542,99.9983369999055,99.5587961967568
"1258","Tequatrovirus T4","75",23.0167627029708,100,97.4156694616518,100,79.3819282674397,100,99.3028221268487,100
"1259","Tequatrovirus T4","150",40.9014002581391,100,98.5638409751662,100,93.494023274114,100,99.8445889581858,100
"1260","Tequatrovirus T4","300",57.0098120579281,100,98.561398506749,100,98.5663506458798,100,99.9521715790853,100
"1261","Tetragenococcus halophilus","75",93.7381550316016,99.9999186825789,99.882358675508,99.9729897646763,96.6016524930369,99.9998571617751,99.934850576551,99.9710470734988
