,,,,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,DOADOR SAUDAVEL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO VIRAL,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA,INFECCAO BACTERIANA
taxon_name,tax_id,genus_name,pathogenic,CSI001,CSI002,CSI003,CSI004,CSI005,SI001,SI002,SI003,SI004,SI005,SI006,SI007,SI008,SI010,SI018,SI019,SI021,SI023,SI029,SI030,SI032,SI034,SI035,SI037,SI041
Streptococcus pseudopneumoniae,257758,Streptococcus,No,0.0295477496309102,0.888349798199361,,0.0110831916021391,0.00596742761911172,0.00561095192093566,0.0106679276516159,1.86145429203844,0.00948918709149988,0.00274367684145156,0.435853620414916,0.00328938636581578,0.12587677678661,0.026658156200075,,0.139073907772935,10.6106944477236,0.00700338500377222,,,,0.0394009721270794,0.00541862920046693,0.0174226445968702,
Streptococcus salivarius,1304,Streptococcus,No,,,,,,,,,,,,,,,,,,,,,,7.67470716762642,7.16493364386613,,
Streptococcus suis,1307,Streptococcus,Yes,0.0100826538069093,0.00361518813157557,2.5007319085337,0.0877193292624174,0.00397828507940781,0.00701372148180147,0.00840883394946822,0.00571436134299648,0.0170805575708605,0.00274367684145156,1.15895176854575,0.00404847692659663,0.00386652484533576,0.00894452244911844,0.00426228728857794,,0.00454266880992343,0.00280134583824679,,0.0103823596532403,0.0224492451943708,0.0318661350511389,0.0472624075498576,0.0116150963979134,
Tobacco mosaic virus,12242,Tobamovirus,No,,,,,,,,0.00571436134299648,,,,,,,,,,,,,,,,,
Treponema sp. canine oral taxon 293,1151548,Treponema,No,,,,,,,,,,,,,1.09529894489018,0.442666269820526,,,,,,,,,0.0370274485035462,,
Treponema sp. OMZ 838,1539298,Treponema,No,,0.002629234134125,,,,0.0196383948845386,,0.117144750023217,0.0370079180830326,0.0237784731414375,0.0285696433352592,,0.00558498033215165,0.0038584173447477,0.0359015378411157,0.012992036002776,,,0.00430918874432685,0.00830588772259225,2.4918641328,1.71276322336909,0.961506103589688,0.101632093481743,
Treponema sp. oral taxon 237,712724,Treponema,No,,,,,,,,,2.09046432199316,,,,,,0.720981865287785,,,,,,,,0.211326569638973,,
uncultured Actinomyces sp.,249061,Actinomyces,No,0.233721701345715,0.137048345084719,0.0315895162522506,0.206255973387541,4.78190470967693,0.0154301704169595,1.33713320279747,0.011428722685993,0.108176777923114,0.049569008683068,0.056917826859367,0.90078443334266,0.048116753630845,5.73658573047666,0.00754096689100192,0.0732279192169588,0.0824170854046967,1.12054241692976,0.0837599578301293,1.10312410546841,0.258166258447759,0.0659299157015774,2.27973788470834,,0.136272100463722
uncultured Campylobacter sp.,218934,Campylobacter,No,0.00168044507402595,0.161697371077909,0.00336060993414698,0.00202741358501089,,,0.215868916683906,,0.034161115141721,,,0.0222665958072259,0.00322209527551442,,,,,0.0112054241692976,0.00538649359925959,0.0103823596532403,1.51532129268232,0.00392439583183731,,,
uncultured Catonella sp.,316097,Catonella,No,,,,,,,,,,,,,,,6.19637642079314,0.239467933390081,,,,,0.86990748518806,0.152109500648774,,,
uncultured Flexistipes sp.,274586,Flexistipes,No,,,,,3.49294008115625,,,,5.57964013724747,,,,,,,,,,,,,,,3.83878408920405,
