accession_id,total_reads,genus,genus_taxid,genus_true_positive,genus_true_negative,genus_false_positive,genus_false_negative,species,species_taxid,species_true_positive,species_true_negative,species_false_positive,species_false_negative
NZ_CP054494.1,15574,Flavobacterium,237,15423,984421,5,151,Flavobacterium columnare,996,14157,984426,0,1417
NC_000940.1,1971,Sapovirus,95341,1971,998029,0,0,unclassified Sapovirus species,,0,998029,0,1971
NZ_CP065995.1,638,Leuconostoc,1243,630,999361,1,8,Leuconostoc mesenteroides,1245,603,999361,1,35
NZ_CP029033.1,5088,Actinobaculum,76833,5082,994912,0,6,Actinobaculum sp. 313,2495645,5082,994912,0,6
NZ_CP027400.1,635,Streptobacillus,34104,616,999365,0,19,Streptobacillus moniliformis,34105,616,999365,0,19
NC_001722.1,2872,Lentivirus,11646,2872,997128,0,0,Human immunodeficiency virus 2,11709,2872,997128,0,0
NZ_CP015348.1,1608,Sporosarcina,1569,1595,998390,2,13,Sporosarcina ureae,1571,1588,998391,1,20
NZ_CP017428.1,13554,Staphylococcus,1279,13506,986426,20,48,Staphylococcus simulans,1286,13396,986445,1,158
NZ_AP019735.1,252,Alistipes,239759,247,999746,2,5,Alistipes communis,2585118,243,999748,0,9
NZ_CP034157.1,3532,Cloacibacterium,501783,3472,996468,0,60,Cloacibacterium normanense,237258,3079,996468,0,453
NZ_CP039381.1,1874,Ruminococcus,1263,1869,998126,0,5,Ruminococcus bovis,2564099,1869,998126,0,5
NZ_CP071986.1,2853,Helicobacter,209,2849,997147,0,4,Helicobacter pylori,210,2843,997147,0,10
NZ_CP121769.1,965,Glaesserella,2094023,922,999035,0,43,Glaesserella parasuis,738,920,999035,0,45
NZ_CP013195.1,4713,Hoylesella,2974257,4435,995287,0,278,Hoylesella enoeca,76123,4433,995287,0,280
NZ_CP068112.1,3184,Mobiluncus,2050,3153,996816,0,31,Mobiluncus curtisii,2051,3145,996816,0,39
NZ_CP016843.1,1488,Carnobacterium,2747,1476,998511,1,12,Carnobacterium divergens,2748,1474,998512,0,14
NZ_CP054000.1,1337,Finegoldia,150022,1226,998659,4,111,Finegoldia magna,1260,1226,998659,4,111
NZ_CP072246.1,4658,Phocaeicola,909656,4085,995340,2,573,Phocaeicola dorei,357276,3493,995341,1,1165
NC_011202.1,1488,Mastadenovirus,10509,1488,998512,0,0,Human mastadenovirus B,108098,1488,998512,0,0
NZ_CP040004.1,3704,Candidatus Nanosynbacter,2093823,3688,996296,0,16,Candidatus Nanosynbacter featherlites,2572088,3676,996296,0,28
NZ_CP017042.1,1004,Selenomonas,970,1004,998996,0,0,Selenomonas sp. oral taxon 920,1884263,988,998996,0,16
NZ_CP124202.1,12520,Lysinibacillus,400634,12446,987478,2,74,Lysinibacillus sphaericus,1421,11847,987480,0,673
NZ_CP047311.1,1908,Pseudomonas,286,1898,998086,6,10,Pseudomonas putida,303,323,998092,0,1585
NZ_CP120209.1,495,Chryseobacterium,59732,481,999497,8,14,Chryseobacterium indologenes,253,471,999505,0,24
NZ_CP008849.1,1314,Alteromonas,226,1307,998684,2,7,Alteromonas australica,589873,790,998686,0,524
NZ_CP046315.1,4633,Schaalia,2529408,4620,995343,24,13,Schaalia odontolytica,1660,4607,995344,23,26
